Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
S100P,-0.0077,0.0676,-0.1136,9.10E-01,0.9935
CCDC74B,0.007,0.0613,0.1136,9.10E-01,0.9935
C15orf57,0.0056,0.0496,0.1135,9.10E-01,0.9935
JPH1,0.006,0.0526,0.1134,9.10E-01,0.9935
FAM75A5,-0.0065,0.0574,-0.1134,9.10E-01,0.9935
CBX1,0.0048,0.0424,0.1134,9.10E-01,0.9935
SBF1,-0.006,0.0533,-0.1134,9.10E-01,0.9935
LOC100129550,-0.0051,0.0453,-0.1134,9.10E-01,0.9935
DIDO1,0.0044,0.0392,0.1133,9.10E-01,0.9935
PUF60,0.0056,0.0497,0.1133,9.10E-01,0.9935
KIAA1383,0.0067,0.0589,0.1133,9.10E-01,0.9935
PMP2,-0.0057,0.05,-0.1132,9.10E-01,0.9935
SYNE2,0.0056,0.0494,0.1131,9.10E-01,0.9935
RMRP,0.0087,0.0766,0.1131,9.10E-01,0.9935
HAUS6,-0.0053,0.0466,-0.1131,9.10E-01,0.9935
NR6A1,-0.0066,0.0588,-0.113,9.10E-01,0.9935
TMEM74,0.0066,0.0581,0.1129,9.10E-01,0.9935
TDGF1,-0.007,0.0622,-0.1128,9.10E-01,0.9935
NGLY1,0.0048,0.0427,0.1128,9.10E-01,0.9935
MCART2,0.0076,0.0671,0.1127,9.10E-01,0.9935
BLMH,0.0051,0.0454,0.1127,9.10E-01,0.9935
IDH3G,-0.0068,0.0606,-0.1126,9.10E-01,0.9935
PRTFDC1,0.0061,0.0538,0.1126,9.10E-01,0.9935
SLC7A5P1,0.0071,0.0633,0.1123,9.11E-01,0.9935
NIF3L1,-0.0048,0.0424,-0.1123,9.11E-01,0.9935
C12orf53,0.0066,0.0592,0.1122,9.11E-01,0.9935
ZC3H12A,0.0071,0.063,0.1121,9.11E-01,0.9935
SCGN,0.0061,0.054,0.1121,9.11E-01,0.9935
MRPS14,-0.0049,0.0437,-0.112,9.11E-01,0.9935
ANKS6,-0.0054,0.0483,-0.112,9.11E-01,0.9935
KCNK4,0.0071,0.0637,0.1119,9.11E-01,0.9935
QRFPR,0.0062,0.0551,0.1119,9.11E-01,0.9935
NAT8L,-0.0068,0.0608,-0.1119,9.11E-01,0.9935
C20orf26,0.0071,0.0637,0.1119,9.11E-01,0.9935
DIO1,0.0069,0.0621,0.1118,9.11E-01,0.9935
COL17A1,-0.0071,0.0631,-0.1118,9.11E-01,0.9935
C12orf29,-0.005,0.0449,-0.1118,9.11E-01,0.9935
SNORA40,0.0076,0.0679,0.1116,9.11E-01,0.9935
SNX32,-0.0069,0.0617,-0.1116,9.11E-01,0.9935
IFI16,-0.0058,0.0518,-0.1115,9.11E-01,0.9935
ZCCHC9,-0.0049,0.0436,-0.1115,9.11E-01,0.9935
ISLR2,0.0069,0.0616,0.1114,9.11E-01,0.9935
CRKL,0.0045,0.0404,0.1114,9.11E-01,0.9935
NUP107,-0.0049,0.0441,-0.1113,9.11E-01,0.9935
PPM1G,0.0051,0.0461,0.1112,9.11E-01,0.9935
BOD1,-0.0047,0.0423,-0.1112,9.12E-01,0.9935
TPX2,-0.0055,0.0492,-0.111,9.12E-01,0.9935
BANK1,-0.0066,0.0593,-0.111,9.12E-01,0.9935
LMF2,0.0056,0.0505,0.111,9.12E-01,0.9935
SLC38A6,0.0055,0.0492,0.1109,9.12E-01,0.9935
TOR2A,0.0056,0.0503,0.1108,9.12E-01,0.9935
ABCA5,-0.0059,0.0532,-0.1108,9.12E-01,0.9935
MBOAT7,-0.0055,0.0492,-0.1108,9.12E-01,0.9935
GPR116,0.0057,0.0516,0.1108,9.12E-01,0.9935
FBXW7,0.0049,0.0439,0.1108,9.12E-01,0.9935
SLC43A3,0.0059,0.053,0.1107,9.12E-01,0.9935
PURA,0.0053,0.0478,0.1106,9.12E-01,0.9935
C14orf105,0.007,0.0634,0.1105,9.12E-01,0.9935
TREML2,-0.0068,0.0617,-0.1105,9.12E-01,0.9935
UAP1,-0.0059,0.0535,-0.1104,9.12E-01,0.9935
MUTED,-0.0046,0.0413,-0.1104,9.12E-01,0.9935
DNAH9,-0.007,0.0637,-0.1104,9.12E-01,0.9935
DPF2,0.0048,0.0436,0.1103,9.12E-01,0.9935
TMEM106C,-0.0055,0.0499,-0.1102,9.12E-01,0.9935
USP45,0.0049,0.0449,0.1102,9.12E-01,0.9935
DPH2,0.0052,0.0474,0.11,9.12E-01,0.9935
UBE2T,-0.0056,0.0507,-0.11,9.12E-01,0.9935
ALOXE3,0.0066,0.0603,0.1098,9.13E-01,0.9936
AK5,-0.0069,0.0632,-0.1096,9.13E-01,0.9936
PLIN2,-0.0066,0.0603,-0.1096,9.13E-01,0.9936
SETD1B,-0.0049,0.0445,-0.1096,9.13E-01,0.9936
ATP8B1,0.0058,0.0525,0.1096,9.13E-01,0.9936
LTK,0.0071,0.0647,0.1095,9.13E-01,0.9936
SIGMAR1,-0.0056,0.0512,-0.1092,9.13E-01,0.9939
RASSF1,0.0052,0.0472,0.1091,9.13E-01,0.9939
KLC3,0.0067,0.0616,0.1088,9.13E-01,0.994
LHX2,-0.007,0.0646,-0.1088,9.13E-01,0.994
ZDHHC22,-0.0059,0.0544,-0.1088,9.13E-01,0.994
FAM81A,0.0067,0.062,0.1087,9.13E-01,0.994
MRPL3,0.0045,0.0415,0.1085,9.14E-01,0.994
CD164L2,-0.0068,0.0628,-0.1085,9.14E-01,0.994
CRIM1,0.0055,0.0503,0.1085,9.14E-01,0.994
CCL11,-0.0064,0.0595,-0.1082,9.14E-01,0.9941
CDC42BPG,-0.0056,0.052,-0.1082,9.14E-01,0.9941
HPGD,0.0071,0.0652,0.1082,9.14E-01,0.9941
HTN1,-0.0045,0.042,-0.1079,9.14E-01,0.9941
DNMBP,-0.0058,0.0538,-0.1079,9.14E-01,0.9941
SGSH,-0.0059,0.0543,-0.1078,9.14E-01,0.9941
CLTA,0.0049,0.0457,0.1078,9.14E-01,0.9941
BTBD7,-0.0044,0.0409,-0.1077,9.14E-01,0.9941
C5orf49,-0.007,0.0651,-0.1076,9.14E-01,0.9941
MED30,-0.0044,0.0413,-0.1076,9.14E-01,0.9941
SPACA5,0.0068,0.063,0.1075,9.14E-01,0.9941
GAGE10,-0.0065,0.0605,-0.1075,9.14E-01,0.9941
STAT4,-0.0059,0.0548,-0.1072,9.15E-01,0.9943
ARHGAP27,-0.0056,0.0522,-0.1071,9.15E-01,0.9943
TREX1,-0.0064,0.0598,-0.1071,9.15E-01,0.9943
ROPN1B,0.0067,0.0628,0.1069,9.15E-01,0.9943
FDXACB1,0.0051,0.0475,0.1068,9.15E-01,0.9943
WDR19,0.0049,0.0461,0.1068,9.15E-01,0.9943
STYXL1,0.0051,0.0476,0.1067,9.15E-01,0.9943
SNX8,-0.0063,0.0595,-0.1065,9.15E-01,0.9943
TM6SF2,-0.0066,0.062,-0.1065,9.15E-01,0.9943
TCTEX1D2,-0.0055,0.0517,-0.1064,9.15E-01,0.9943
HIST1H1B,0.0066,0.0625,0.1062,9.16E-01,0.9943
TMEM147,0.0054,0.051,0.1061,9.16E-01,0.9943
C5orf44,0.0044,0.0418,0.1061,9.16E-01,0.9943
MPZL2,0.0054,0.0514,0.1061,9.16E-01,0.9943
KLHL4,-0.0063,0.0592,-0.106,9.16E-01,0.9943
ULK2,-0.005,0.0475,-0.106,9.16E-01,0.9943
MCCC1,0.0052,0.0491,0.106,9.16E-01,0.9943
CCNG2,0.0045,0.0423,0.1059,9.16E-01,0.9943
OTUD3,0.0049,0.0459,0.1059,9.16E-01,0.9943
GPAA1,0.0055,0.0524,0.1059,9.16E-01,0.9943
DDIT4,-0.0062,0.0584,-0.1057,9.16E-01,0.9943
SPAG5,-0.0053,0.0501,-0.1057,9.16E-01,0.9943
HEATR1,-0.0048,0.0454,-0.1056,9.16E-01,0.9943
MEF2C,0.0056,0.0529,0.1056,9.16E-01,0.9943
KCNQ5,0.0061,0.0579,0.1055,9.16E-01,0.9943
MMP8,0.0056,0.0534,0.1055,9.16E-01,0.9943
CCDC55,-0.0045,0.0423,-0.1055,9.16E-01,0.9943
LRCH2,-0.0056,0.0528,-0.1054,9.16E-01,0.9943
SCARNA17,-0.0076,0.0723,-0.1053,9.16E-01,0.9944
TRPC6,-0.006,0.0572,-0.1051,9.16E-01,0.9944
USP25,0.0045,0.0428,0.105,9.16E-01,0.9944
MCM7,-0.0055,0.0522,-0.1049,9.17E-01,0.9945
ZNF585B,-0.0054,0.0511,-0.1049,9.17E-01,0.9945
GBX1,0.005,0.0476,0.1047,9.17E-01,0.9945
RFTN1,0.0057,0.0547,0.1046,9.17E-01,0.9946
MLEC,0.0052,0.0499,0.1044,9.17E-01,0.9947
DBH,-0.0069,0.0664,-0.1044,9.17E-01,0.9947
HLA-L,0.0078,0.0745,0.1041,9.17E-01,0.9947
SNRPC,-0.0045,0.0433,-0.104,9.17E-01,0.9947
GOLGA1,0.0044,0.0419,0.104,9.17E-01,0.9947
ARHGAP26,0.0059,0.0571,0.1039,9.17E-01,0.9947
ABCA10,0.0064,0.0612,0.1039,9.17E-01,0.9947
WFDC10B,-0.0062,0.0593,-0.1038,9.17E-01,0.9947
IP6K1,-0.0048,0.0463,-0.1038,9.17E-01,0.9947
EBNA1BP2,-0.0044,0.0427,-0.1038,9.17E-01,0.9947
SLC7A9,-0.0063,0.0604,-0.1036,9.18E-01,0.9947
NOLC1,0.0048,0.0468,0.1035,9.18E-01,0.9947
GSTT1,0.0065,0.0633,0.1034,9.18E-01,0.9947
LRIT3,0.0059,0.0568,0.1034,9.18E-01,0.9947
BMPR1B,-0.0064,0.0615,-0.1034,9.18E-01,0.9947
ARHGEF10,-0.0059,0.0575,-0.1033,9.18E-01,0.9947
PON1,0.0064,0.0616,0.1033,9.18E-01,0.9947
FTCD,-0.0063,0.0612,-0.1033,9.18E-01,0.9947
ADAM8,-0.0061,0.0594,-0.1031,9.18E-01,0.9947
ZNF774,0.0053,0.0513,0.1029,9.18E-01,0.9949
SOCS5,0.0043,0.0422,0.1028,9.18E-01,0.9949
LOC728640,0.0055,0.0534,0.1027,9.18E-01,0.9949
RARS2,0.0043,0.0415,0.1027,9.18E-01,0.9949
TJP1,0.0044,0.043,0.1026,9.18E-01,0.9949
WDR8,-0.0046,0.0453,-0.1023,9.19E-01,0.995
NT5C2,0.0046,0.0453,0.1022,9.19E-01,0.995
TEC,-0.006,0.0588,-0.1021,9.19E-01,0.995
SLC25A1,0.0058,0.0567,0.1019,9.19E-01,0.995
ACRBP,-0.0061,0.06,-0.1019,9.19E-01,0.995
FLJ10357,0.0053,0.0524,0.1019,9.19E-01,0.995
PM20D2,-0.005,0.0487,-0.1018,9.19E-01,0.995
SPEF1,0.0064,0.0631,0.1018,9.19E-01,0.995
DSP,-0.005,0.0491,-0.1017,9.19E-01,0.995
PYCARD,-0.0066,0.065,-0.1016,9.19E-01,0.995
PGPEP1,-0.0052,0.051,-0.1015,9.19E-01,0.995
FDPSL2A,-0.0073,0.0715,-0.1014,9.19E-01,0.995
IGFALS,-0.0064,0.0627,-0.1014,9.19E-01,0.995
MST1R,0.0065,0.0637,0.1013,9.19E-01,0.995
MORN5,0.0065,0.0639,0.1013,9.19E-01,0.995
C1orf69,0.0052,0.0517,0.1012,9.19E-01,0.995
ZNF761,0.0049,0.0481,0.1011,9.20E-01,0.995
ABRA,0.006,0.0596,0.101,9.20E-01,0.995
CYSLTR2,0.006,0.0595,0.1009,9.20E-01,0.995
REEP5,0.0044,0.0437,0.1009,9.20E-01,0.995
SLC45A4,0.0053,0.0521,0.1009,9.20E-01,0.995
BAMBI,0.0061,0.0608,0.1009,9.20E-01,0.995
ZFYVE19,-0.0049,0.0486,-0.1008,9.20E-01,0.995
RND1,-0.0059,0.0583,-0.1008,9.20E-01,0.995
PYGB,-0.0055,0.0542,-0.1008,9.20E-01,0.995
SLC19A2,0.0046,0.0454,0.1007,9.20E-01,0.9951
KRT6B,-0.0071,0.0704,-0.1006,9.20E-01,0.9951
HESRG,-0.0065,0.065,-0.1004,9.20E-01,0.9951
NUP214,0.0043,0.043,0.1,9.20E-01,0.9953
USP6,-0.0061,0.0614,-0.1,9.20E-01,0.9953
ALS2CR11,0.0056,0.0562,0.0999,9.21E-01,0.9953
KLF17,-0.006,0.0597,-0.0998,9.21E-01,0.9953
UGT1A1,0.0046,0.0464,0.0997,9.21E-01,0.9953
FAM23A,0.006,0.0597,0.0997,9.21E-01,0.9953
CEP57,0.004,0.0398,0.0996,9.21E-01,0.9953
PTPRN2,0.0056,0.0563,0.0996,9.21E-01,0.9953
KIAA1486,-0.0062,0.062,-0.0995,9.21E-01,0.9953
LTB,0.0063,0.0638,0.0995,9.21E-01,0.9953
STAT5A,-0.0054,0.0545,-0.0994,9.21E-01,0.9954
DPH3B,0.0052,0.0523,0.0992,9.21E-01,0.9954
IRAK4,-0.0046,0.0464,-0.0991,9.21E-01,0.9954
ASTN1,-0.006,0.0608,-0.0991,9.21E-01,0.9954
SPATA24,-0.0052,0.0521,-0.099,9.21E-01,0.9954
SNX22,-0.0058,0.0584,-0.099,9.21E-01,0.9954
GSTM3,0.006,0.0607,0.0989,9.21E-01,0.9954
PRMT10,-0.0041,0.0418,-0.0988,9.21E-01,0.9954
PLCD1,-0.0053,0.0535,-0.0987,9.21E-01,0.9954
ARL6IP6,0.0045,0.0455,0.0985,9.22E-01,0.9954
FUT8,0.0052,0.0526,0.0985,9.22E-01,0.9954
C6orf168,0.006,0.0608,0.0985,9.22E-01,0.9954
ASTE1,0.0042,0.0426,0.0983,9.22E-01,0.9954
ZSCAN20,0.0047,0.0474,0.0981,9.22E-01,0.9954
MBP,0.005,0.0508,0.098,9.22E-01,0.9954
BCAS1,0.0063,0.0647,0.098,9.22E-01,0.9954
AQP7,-0.0066,0.0677,-0.098,9.22E-01,0.9954
GRK4,-0.0052,0.0531,-0.098,9.22E-01,0.9954
IL17RA,-0.0049,0.05,-0.098,9.22E-01,0.9954
EHD2,0.0056,0.0572,0.0979,9.22E-01,0.9954
ARHGEF15,0.0057,0.0581,0.0979,9.22E-01,0.9954
EPHA1,0.0051,0.0517,0.0979,9.22E-01,0.9954
ZBTB41,-0.0047,0.0475,-0.0978,9.22E-01,0.9955
EFCAB10,0.0062,0.0634,0.0977,9.22E-01,0.9955
MTOR,-0.0047,0.048,-0.0976,9.22E-01,0.9955
UPK3A,0.0063,0.0645,0.0974,9.22E-01,0.9956
AP4B1,-0.0047,0.0487,-0.0972,9.23E-01,0.9956
SSX3,-0.0044,0.045,-0.0967,9.23E-01,0.9956
CDRT15P,0.0055,0.0567,0.0967,9.23E-01,0.9956
CDK16,-0.0052,0.0534,-0.0966,9.23E-01,0.9956
KISS1,-0.0061,0.0628,-0.0965,9.23E-01,0.9956
INGX,-0.0061,0.063,-0.0964,9.23E-01,0.9956
ALKBH8,0.0042,0.0439,0.0964,9.23E-01,0.9956
RCN3,-0.0057,0.0592,-0.0961,9.23E-01,0.9956
PRKCD,0.0052,0.0544,0.096,9.24E-01,0.9956
FBXO22OS,-0.0051,0.0527,-0.096,9.24E-01,0.9956
ESRRA,-0.005,0.0516,-0.096,9.24E-01,0.9956
ODAM,-0.0061,0.0633,-0.096,9.24E-01,0.9956
GFRA1,-0.006,0.0631,-0.0958,9.24E-01,0.9956
TBC1D8B,-0.0055,0.0578,-0.0955,9.24E-01,0.9956
IFI27L2,0.0054,0.0567,0.0955,9.24E-01,0.9956
PRTN3,0.0053,0.0556,0.0955,9.24E-01,0.9956
C5orf46,-0.0056,0.0585,-0.0953,9.24E-01,0.9956
SPRR2C,-0.0053,0.0551,-0.0953,9.24E-01,0.9956
IQCG,-0.0051,0.0537,-0.0952,9.24E-01,0.9956
SLC37A1,0.0049,0.0513,0.0952,9.24E-01,0.9956
CLEC14A,-0.0052,0.0544,-0.0951,9.24E-01,0.9956
TBC1D23,-0.0043,0.0448,-0.0951,9.24E-01,0.9956
ZNF772,-0.0052,0.0543,-0.095,9.24E-01,0.9956
ARPP21,0.0048,0.0506,0.095,9.24E-01,0.9956
DDX27,-0.0039,0.0406,-0.0949,9.24E-01,0.9956
ADAM20,-0.0057,0.0601,-0.0949,9.24E-01,0.9956
TM9SF3,-0.0043,0.0452,-0.0949,9.24E-01,0.9956
XAGE3,0.0046,0.0488,0.0948,9.25E-01,0.9956
LOC100134368,-0.0062,0.0656,-0.0947,9.25E-01,0.9956
AKAP5,0.0045,0.0478,0.0945,9.25E-01,0.9956
LDB1,-0.0044,0.0469,-0.0945,9.25E-01,0.9956
SNRNP25,-0.0052,0.0551,-0.0945,9.25E-01,0.9956
FLRT2,0.0053,0.0561,0.0944,9.25E-01,0.9956
LOC644538,-0.0048,0.0509,-0.0943,9.25E-01,0.9956
FAM190B,0.0048,0.0506,0.0942,9.25E-01,0.9956
MYO7A,0.0056,0.0598,0.0941,9.25E-01,0.9956
SNORA62,-0.0064,0.0678,-0.094,9.25E-01,0.9956
CLPTM1,0.0047,0.05,0.094,9.25E-01,0.9956
KIDINS220,0.0043,0.0459,0.0939,9.25E-01,0.9956
PDZK1,-0.0063,0.067,-0.0939,9.25E-01,0.9956
SLC38A1,0.0045,0.0481,0.0938,9.25E-01,0.9956
UGT1A10,-0.0044,0.0471,-0.0938,9.25E-01,0.9956
KRT32,-0.0055,0.0584,-0.0937,9.25E-01,0.9956
FLRT3,-0.0055,0.0583,-0.0936,9.25E-01,0.9956
REC8,-0.0057,0.0608,-0.0936,9.25E-01,0.9956
EXOC1,-0.0037,0.0397,-0.0935,9.26E-01,0.9956
LRFN4,0.0052,0.0559,0.0935,9.26E-01,0.9956
PITPNA,-0.0044,0.0468,-0.0935,9.26E-01,0.9956
FCAMR,0.0056,0.0601,0.0934,9.26E-01,0.9956
NUDT11,-0.0052,0.0553,-0.0933,9.26E-01,0.9956
LOC283404,-0.0055,0.0588,-0.0933,9.26E-01,0.9956
SMAGP,0.0051,0.0554,0.093,9.26E-01,0.9956
CDKL5,-0.0052,0.0559,-0.093,9.26E-01,0.9956
SCARB1,0.005,0.0539,0.0929,9.26E-01,0.9956
SENP2,0.0037,0.0403,0.0929,9.26E-01,0.9956
XYLT1,-0.0054,0.0583,-0.0928,9.26E-01,0.9956
KCNMB1,0.0058,0.0623,0.0928,9.26E-01,0.9956
PYY2,-0.006,0.0645,-0.0927,9.26E-01,0.9956
C11orf51,-0.005,0.054,-0.0924,9.26E-01,0.9956
SLC30A9,0.0038,0.0411,0.0924,9.26E-01,0.9956
DBR1,-0.0039,0.0425,-0.0924,9.26E-01,0.9956
FANCG,-0.0046,0.0497,-0.0924,9.26E-01,0.9956
CDKN1B,-0.0048,0.0524,-0.0924,9.26E-01,0.9956
CPNE8,0.0049,0.0528,0.0923,9.26E-01,0.9956
BEST2,0.0053,0.0571,0.0923,9.26E-01,0.9956
NBPF7,0.006,0.0654,0.0923,9.26E-01,0.9956
ZNF484,0.0042,0.0454,0.0922,9.27E-01,0.9956
ULBP2,-0.0057,0.0615,-0.0921,9.27E-01,0.9956
HOXB8,-0.0054,0.0588,-0.0921,9.27E-01,0.9956
KRT8,-0.0053,0.0573,-0.0921,9.27E-01,0.9956
C10orf28,0.0039,0.0424,0.092,9.27E-01,0.9956
GATA4,0.0052,0.0571,0.0918,9.27E-01,0.9956
MRP63,-0.0046,0.0505,-0.0916,9.27E-01,0.9956
WDFY3,-0.0039,0.0422,-0.0915,9.27E-01,0.9956
KIF23,-0.0045,0.0489,-0.0915,9.27E-01,0.9956
CCND1,0.0053,0.0578,0.0915,9.27E-01,0.9956
C8orf80,0.0058,0.063,0.0914,9.27E-01,0.9956
IFLTD1,-0.0055,0.0606,-0.0914,9.27E-01,0.9956
SPAG7,0.0044,0.0477,0.0913,9.27E-01,0.9956
C21orf56,-0.0054,0.0594,-0.0913,9.27E-01,0.9956
MRAS,0.0048,0.0526,0.0913,9.27E-01,0.9956
PMP22,-0.0049,0.0537,-0.0913,9.27E-01,0.9956
KATNA1,0.0036,0.0391,0.0912,9.27E-01,0.9956
SPINK1,-0.0062,0.0675,-0.0911,9.27E-01,0.9956
CRB1,0.0057,0.0625,0.0908,9.28E-01,0.9956
CEP350,-0.0039,0.0431,-0.0907,9.28E-01,0.9956
CDKN2AIP,-0.0039,0.0434,-0.0906,9.28E-01,0.9956
SLC12A9,-0.0045,0.0498,-0.0905,9.28E-01,0.9956
LOC283392,0.005,0.055,0.0905,9.28E-01,0.9956
SLC25A15,0.0043,0.0476,0.0905,9.28E-01,0.9956
LZIC,0.004,0.044,0.0903,9.28E-01,0.9956
GTDC1,0.0042,0.0471,0.0902,9.28E-01,0.9956
LOC654342,-0.0055,0.0605,-0.0902,9.28E-01,0.9956
GAGE2E,0.0045,0.0497,0.0902,9.28E-01,0.9956
CYTIP,0.0053,0.0586,0.0901,9.28E-01,0.9956
TCHH,-0.0058,0.064,-0.0901,9.28E-01,0.9956
RAB3C,-0.0054,0.0605,-0.0901,9.28E-01,0.9956
SYT7,-0.0056,0.0622,-0.09,9.28E-01,0.9956
PLA2G2F,-0.0057,0.063,-0.0897,9.29E-01,0.9956
LOC285456,-0.0054,0.0606,-0.0897,9.29E-01,0.9956
RPTOR,-0.0045,0.0497,-0.0897,9.29E-01,0.9956
GLA,0.0045,0.0501,0.0896,9.29E-01,0.9956
AG2,-0.0057,0.0632,-0.0896,9.29E-01,0.9956
TNFRSF4,-0.0057,0.0631,-0.0896,9.29E-01,0.9956
TMEM150C,-0.0056,0.0621,-0.0894,9.29E-01,0.9956
GGTLC1,0.0062,0.0692,0.0894,9.29E-01,0.9956
TK1,-0.005,0.0562,-0.0893,9.29E-01,0.9956
COX11,0.0037,0.0419,0.0892,9.29E-01,0.9956
GSK3A,-0.0037,0.0411,-0.0892,9.29E-01,0.9956
H3F3B,0.0039,0.0442,0.0888,9.29E-01,0.9956
LOC100190938,0.0062,0.0695,0.0887,9.29E-01,0.9956
BET1,0.0042,0.0477,0.0885,9.30E-01,0.9956
VPS24,0.0038,0.0427,0.0884,9.30E-01,0.9956
CYTSA,0.004,0.0449,0.0884,9.30E-01,0.9956
SLC27A2,0.005,0.0567,0.0883,9.30E-01,0.9956
POP7,-0.0042,0.0476,-0.0883,9.30E-01,0.9956
SEMA3A,-0.0056,0.0633,-0.0882,9.30E-01,0.9956
PRLR,0.0051,0.0583,0.088,9.30E-01,0.9956
CACNA1I,-0.0058,0.0657,-0.088,9.30E-01,0.9956
PAOX,-0.005,0.0572,-0.0879,9.30E-01,0.9956
ADRA1D,-0.0049,0.0555,-0.0879,9.30E-01,0.9956
GREB1L,0.0055,0.0623,0.0878,9.30E-01,0.9956
DENND2D,-0.0044,0.0497,-0.0877,9.30E-01,0.9956
FAM53C,0.0038,0.0429,0.0876,9.30E-01,0.9956
KRT16,0.0061,0.07,0.0875,9.30E-01,0.9956
LRPAP1,0.0045,0.0517,0.0872,9.31E-01,0.9956
RSF1,0.0038,0.0433,0.0872,9.31E-01,0.9956
OR7E24,-0.0046,0.0527,-0.0871,9.31E-01,0.9956
CXCL14,0.0057,0.0655,0.0871,9.31E-01,0.9956
TAT,-0.0054,0.0622,-0.0869,9.31E-01,0.9956
FZD4,0.0044,0.0511,0.0868,9.31E-01,0.9956
CCND2,0.0052,0.0598,0.0868,9.31E-01,0.9956
C2orf16,0.0045,0.052,0.0868,9.31E-01,0.9956
LOC440354,-0.006,0.0694,-0.0868,9.31E-01,0.9956
DTL,-0.0043,0.0498,-0.0868,9.31E-01,0.9956
EPHA3,-0.0054,0.0621,-0.0866,9.31E-01,0.9956
MCF2L,0.0047,0.0542,0.0864,9.31E-01,0.9956
NEK10,-0.0054,0.0625,-0.0863,9.31E-01,0.9956
NR5A1,0.0046,0.0531,0.0863,9.31E-01,0.9956
LYPD1,0.0059,0.0679,0.0862,9.31E-01,0.9956
SFTPA2,-0.0061,0.0711,-0.0862,9.31E-01,0.9956
CA5BP,-0.0043,0.0498,-0.0861,9.31E-01,0.9956
C14orf162,0.0045,0.0519,0.086,9.32E-01,0.9956
UCHL1,0.0048,0.0556,0.0859,9.32E-01,0.9956
LOC440173,-0.0056,0.0652,-0.0858,9.32E-01,0.9956
RCVRN,-0.0051,0.0593,-0.0858,9.32E-01,0.9956
C2orf7,0.0048,0.056,0.0858,9.32E-01,0.9956
HBE1,-0.0051,0.0596,-0.0857,9.32E-01,0.9956
EDC3,0.0037,0.0434,0.0857,9.32E-01,0.9956
ZAP70,-0.0052,0.0603,-0.0857,9.32E-01,0.9956
ZNF827,-0.0044,0.052,-0.0856,9.32E-01,0.9956
ACP5,0.0053,0.0619,0.0856,9.32E-01,0.9956
TNIK,0.005,0.0591,0.0854,9.32E-01,0.9956
TTN,-0.0051,0.0596,-0.0854,9.32E-01,0.9956
RNF170,-0.0039,0.0459,-0.0853,9.32E-01,0.9956
RP1,-0.0054,0.0639,-0.0853,9.32E-01,0.9956
ZNF557,-0.004,0.0471,-0.0853,9.32E-01,0.9956
TIMM8B,-0.0044,0.0513,-0.0851,9.32E-01,0.9956
ENC1,-0.0045,0.0533,-0.085,9.32E-01,0.9956
PCDHA6,-0.0053,0.0622,-0.0849,9.32E-01,0.9956
CENPM,-0.0049,0.0582,-0.0849,9.32E-01,0.9956
ADAMTS1,0.0046,0.0548,0.0849,9.32E-01,0.9956
ZNF680,0.0039,0.0464,0.0848,9.32E-01,0.9956
KBTBD6,0.0045,0.0527,0.0848,9.32E-01,0.9956
SLC7A8,0.0051,0.0601,0.0847,9.33E-01,0.9956
ALG14,-0.0038,0.0452,-0.0847,9.33E-01,0.9956
NDNL2,-0.0041,0.0488,-0.0846,9.33E-01,0.9956
SNAP29,-0.0033,0.0395,-0.0846,9.33E-01,0.9956
VASH1,-0.0044,0.0524,-0.0845,9.33E-01,0.9956
RNF13,-0.0035,0.0418,-0.0844,9.33E-01,0.9956
SMR3A,0.0047,0.0561,0.0844,9.33E-01,0.9956
SFRS13B,-0.0047,0.0557,-0.0843,9.33E-01,0.9956
ZC3H10,-0.0039,0.0467,-0.0843,9.33E-01,0.9956
MRPL53,-0.0049,0.0576,-0.0843,9.33E-01,0.9956
CELP,-0.0059,0.0696,-0.0842,9.33E-01,0.9956
MED12L,-0.005,0.0595,-0.0842,9.33E-01,0.9956
F2RL3,-0.0051,0.0602,-0.084,9.33E-01,0.9956
MUM1,0.0041,0.0489,0.0839,9.33E-01,0.9956
AMIGO3,0.0045,0.0541,0.0839,9.33E-01,0.9956
RND3,-0.0044,0.0521,-0.0838,9.33E-01,0.9956
COL6A3,0.0048,0.0575,0.0837,9.33E-01,0.9956
SRFBP1,0.0036,0.0426,0.0837,9.33E-01,0.9956
NMB,0.0047,0.0563,0.0837,9.33E-01,0.9956
C6orf192,0.0039,0.0464,0.0836,9.33E-01,0.9956
FOLR3,-0.0047,0.0567,-0.0836,9.33E-01,0.9956
SYT15,-0.0053,0.0637,-0.0836,9.33E-01,0.9956
GNB4,0.0045,0.0537,0.0835,9.33E-01,0.9956
WNT7A,0.0051,0.061,0.0834,9.34E-01,0.9956
SLC43A2,0.0046,0.0548,0.0833,9.34E-01,0.9956
RNF25,-0.0039,0.0466,-0.0833,9.34E-01,0.9956
DPYS,0.0046,0.0551,0.0832,9.34E-01,0.9956
PLAT,-0.005,0.0604,-0.0832,9.34E-01,0.9956
RPL22L1,-0.0046,0.0553,-0.0831,9.34E-01,0.9956
IBSP,-0.0053,0.0638,-0.083,9.34E-01,0.9956
FAM131B,-0.0049,0.0593,-0.083,9.34E-01,0.9956
DDX10,-0.0036,0.043,-0.0829,9.34E-01,0.9956
KIAA0427,-0.0042,0.0504,-0.0829,9.34E-01,0.9956
